topology,method,threshold,missing_signature,witness_reference_id,witness_event_specification
B,MI-C,moderate,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-0204,"[{""target"":""T2P-B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P-A"",""magnitude"":0.35,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
B,MI-C,moderate,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-1286,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-C,severe,Compounding moderate disturbance,REF-B-P-2554,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-C,severe,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-1748,"[{""target"":""T2P-B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
B,MI-C,severe,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-2564,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":16,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-C,severe,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-0246,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""T2P-A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
B,MI-C,severe,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-B-Q-1488,"[{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P-A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
B,MI-C,severe,Concentrated dependency; Recovery lag and temporal overlap,REF-B-Q-3278,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
B,MI-C,severe,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-0264,"[{""target"":""T2P-B"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""T2P-A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":3,""recovery_weeks"":3}]"
B,MI-C,severe,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-1322,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":16,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-M,moderate,Compounding moderate disturbance,REF-B-P-2551,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2}]"
B,MI-M,moderate,Compounding moderate disturbance; Propagation-amplified cascade,REF-B-P-1717,"[{""target"":""T2P-B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
B,MI-M,moderate,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-1640,"[{""target"":""T2P-B"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.35,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
B,MI-M,moderate,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-2549,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":2}]"
B,MI-M,moderate,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-B-Q-1371,"[{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P-A"",""magnitude"":0.35,""start_week"":15,""duration_weeks"":3,""recovery_weeks"":3}]"
B,MI-M,moderate,Concentrated dependency; Recovery lag and temporal overlap,REF-B-Q-1313,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-M,moderate,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,REF-B-P-0130,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P-B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]"
B,MI-M,moderate,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-0204,"[{""target"":""T2P-B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P-A"",""magnitude"":0.35,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
B,MI-M,moderate,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-1286,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-M,severe,Compounding moderate disturbance,REF-B-P-2554,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-M,severe,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-1748,"[{""target"":""T2P-B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
B,MI-M,severe,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-2564,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":16,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-M,severe,Concentrated dependency; Hidden convergent dependency,REF-B-P-1486,"[{""target"":""T2P-A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2}]"
B,MI-M,severe,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-0246,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""T2P-A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
B,MI-M,severe,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-B-Q-1488,"[{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P-A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
B,MI-M,severe,Concentrated dependency; Recovery lag and temporal overlap,REF-B-Q-3278,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
B,MI-M,severe,Hidden convergent dependency; Compounding moderate disturbance,REF-B-P-1339,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-M,severe,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,REF-B-P-0187,"[{""target"":""T2P-A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P-B"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
B,MI-M,severe,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-0264,"[{""target"":""T2P-B"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""T2P-A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":3,""recovery_weeks"":3}]"
B,MI-M,severe,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-1322,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":16,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-MD,moderate,Compounding moderate disturbance,REF-B-P-2551,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":2}]"
B,MI-MD,moderate,Compounding moderate disturbance; Propagation-amplified cascade,REF-B-P-1717,"[{""target"":""T2P-B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
B,MI-MD,moderate,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-1640,"[{""target"":""T2P-B"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.35,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
B,MI-MD,moderate,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-2549,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":2}]"
B,MI-MD,moderate,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-B-Q-1371,"[{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P-A"",""magnitude"":0.35,""start_week"":15,""duration_weeks"":3,""recovery_weeks"":3}]"
B,MI-MD,moderate,Concentrated dependency; Recovery lag and temporal overlap,REF-B-Q-1313,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-MD,moderate,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,REF-B-P-0130,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P-B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]"
B,MI-MD,moderate,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-0204,"[{""target"":""T2P-B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P-A"",""magnitude"":0.35,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
B,MI-MD,moderate,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-1286,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-MD,severe,Compounding moderate disturbance,REF-B-P-2554,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-MD,severe,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-1748,"[{""target"":""T2P-B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
B,MI-MD,severe,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-2564,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":16,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-MD,severe,Concentrated dependency; Hidden convergent dependency,REF-B-P-1486,"[{""target"":""T2P-A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2}]"
B,MI-MD,severe,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-0246,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""T2P-A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
B,MI-MD,severe,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-B-Q-1488,"[{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P-A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
B,MI-MD,severe,Concentrated dependency; Recovery lag and temporal overlap,REF-B-Q-3278,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
B,MI-MD,severe,Hidden convergent dependency; Compounding moderate disturbance,REF-B-P-1339,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-MD,severe,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,REF-B-P-0187,"[{""target"":""T2P-A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P-B"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
B,MI-MD,severe,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-0264,"[{""target"":""T2P-B"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""T2P-A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":3,""recovery_weeks"":3}]"
B,MI-MD,severe,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-1322,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":16,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-MDA,moderate,Compounding moderate disturbance; Propagation-amplified cascade,REF-B-P-1717,"[{""target"":""T2P-B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
B,MI-MDA,moderate,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-1640,"[{""target"":""T2P-B"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.35,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
B,MI-MDA,moderate,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-2549,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":2}]"
B,MI-MDA,moderate,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-B-Q-1371,"[{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P-A"",""magnitude"":0.35,""start_week"":15,""duration_weeks"":3,""recovery_weeks"":3}]"
B,MI-MDA,moderate,Concentrated dependency; Recovery lag and temporal overlap,REF-B-Q-1313,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-MDA,moderate,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,REF-B-P-0130,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P-B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3}]"
B,MI-MDA,moderate,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-0204,"[{""target"":""T2P-B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P-A"",""magnitude"":0.35,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
B,MI-MDA,moderate,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-1286,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-MDA,severe,Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-1748,"[{""target"":""T2P-B"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.5,""start_week"":16,""duration_weeks"":2,""recovery_weeks"":3}]"
B,MI-MDA,severe,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-2564,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":16,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-MDA,severe,Concentrated dependency; Hidden convergent dependency,REF-B-P-1486,"[{""target"":""T2P-A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2}]"
B,MI-MDA,severe,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-0246,"[{""target"":""T2P-B"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""T2P-A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
B,MI-MDA,severe,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-B-Q-1488,"[{""target"":""demand"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P-A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
B,MI-MDA,severe,Concentrated dependency; Recovery lag and temporal overlap,REF-B-Q-3278,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""corridor"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
B,MI-MDA,severe,Hidden convergent dependency; Compounding moderate disturbance,REF-B-P-1339,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":2}]"
B,MI-MDA,severe,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade,REF-B-P-0187,"[{""target"":""T2P-A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""T2P-B"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":4,""recovery_weeks"":3}]"
B,MI-MDA,severe,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-B-Q-0264,"[{""target"":""T2P-B"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""T2P-A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":3,""recovery_weeks"":3}]"
B,MI-MDA,severe,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-B-Q-1322,"[{""target"":""T2P-A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":3,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":16,""duration_weeks"":4,""recovery_weeks"":2}]"
